variant,description,clip_sim,mean_ssim,mean_psnr,mean_frame_diff,ssim_variance,lpips_temporal,temporal_consistency,semantic_alignment,duration_seconds,duration_ok,video_path,delta_clip_vs_baseline,delta_ssim_vs_baseline,delta_frame_diff_vs_baseline
baseline,Original Phase 1 style settings.,34.219547271728516,0.704891197368893,16.453202082895555,19.999336004257202,0.005819572091163309,0.20326786239941916,moderate,good,3.5714285714285716,False,/kaggle/working/phase2_results/baseline/output_video.mp4,0.0,0.0,0.0
enhancement_A_prompt_cfg,Semantic enhancement: richer prompt + negative prompt + stronger CFG.,33.80126190185547,0.8064214776168631,20.07712461823284,10.171927571296692,8.873036539611168e-05,0.0966942124068737,moderate,good,3.5714285714285716,False,/kaggle/working/phase2_results/enhancement_A_prompt_cfg/output_video.mp4,-0.4182853698730469,0.10153028024797006,-9.82740843296051
enhancement_B_temporal,Temporal enhancement: lower motion/noise + smoothing + frame interpolation.,34.95082473754883,0.9566563944612737,27.929171893135436,4.495650087793668,5.821454919766937e-05,0.04383024627653261,good,good,4.083333333333333,True,/kaggle/working/phase2_results/enhancement_B_temporal/output_video.mp4,0.7312774658203125,0.25176519709238065,-15.503685916463535
combined_A_B,Combined enhancement: semantic conditioning + temporal consistency pipeline.,33.64607238769531,0.9466431082272496,28.485628459974706,3.9539464165767035,4.0156817652206263e-05,0.04449367814231664,good,good,4.083333333333333,True,/kaggle/working/phase2_results/combined_A_B/output_video.mp4,-0.5734748840332031,0.24175191085835657,-16.0453895876805
